simulation_id,controller,cost,exec_time,success
0,M,3993.36,1.4086265563964844,True
0,M_term,1052.79,4.183974027633667,True
0,N+M,1048.18,14.252055883407593,True
1,M,38159.8,1.1318881511688232,True
1,M_term,9844.8,4.096537113189697,True
1,N+M,9838.15,11.45669412612915,True
2,M,28783.9,1.1182780265808105,True
2,M_term,7484.84,4.5423994064331055,True
2,N+M,7448.27,14.040885210037231,True
3,M,61905.3,1.117814302444458,True
3,M_term,15899.9,5.725903272628784,True
3,N+M,15860.5,13.376757144927979,True
4,M,20614.9,1.1238868236541748,True
4,M_term,5392.03,5.452276945114136,True
4,N+M,5355.24,12.336018562316895,True
5,M,38474.4,1.377086877822876,True
5,M_term,9924.23,5.364931106567383,True
5,N+M,9918.18,14.113715648651123,True
6,M,60254.2,1.4408578872680664,True
6,M_term,15452.6,5.333741903305054,True
6,N+M,15442.3,14.241153240203857,True
7,M,10085.6,1.408827304840088,True
7,M_term,2641.19,5.177335023880005,True
7,N+M,2636.14,14.061509847640991,True
8,M,7.37497,1.3775992393493652,True
8,M_term,4.65292,3.809664726257324,True
8,N+M,1.94171,11.30223536491394,True
9,M,7852.48,1.3902528285980225,True
9,M_term,2091.65,4.495602607727051,True
9,N+M,2055.5,11.65927004814148,True
10,M,26782.3,1.3440203666687012,True
10,M_term,6973.38,5.5323803424835205,True
10,N+M,6936.51,12.285855770111084,True
11,M,30874.9,1.1396338939666748,True
11,M_term,8020.13,4.438668966293335,True
11,N+M,7982.25,14.367131233215332,True
12,M,1613.9,1.3962419033050537,True
12,M_term,427.993,4.058067321777344,True
12,N+M,424.38,11.851666927337646,True
13,M,42688.8,1.124201774597168,True
13,M_term,10996.2,5.367344617843628,True
13,N+M,10989.2,14.260853052139282,True
14,M,60679.2,1.1162431240081787,True
14,M_term,15592.1,5.518600940704346,True
14,N+M,15549.9,12.307655096054077,True
15,M,43919.8,1.149533748626709,True
15,M_term,11306.5,4.293760538101196,True
15,N+M,11301.8,14.089578866958618,True
