controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,29793.12973627622,20518.89138150747,1.2603120505809784
M_term,100.0,7694.055817266466,5258.198326459119,4.8369493037462234
N+M,100.0,7674.277296365243,5253.564941848027,13.125189751386642
