controller,success_rate,mean_cost,std_cost,mean_exec_time
M,100.0,12752.852603781035,6762.473932132566,2.7867551326751707
M_term,100.0,10261.141972847943,5549.287052244,8.187990641593933
N+M,100.0,9842.867479606548,5499.919636565947,14.59374749660492
