controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,63339.994808500924,42372.717764996705,3.489416766166687
M_term,100.0,21055.329091525833,14065.807143315062,7.460617408752442
N+M,100.0,20511.176105251157,13819.00406931449,30.767421169281008
