controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,56843.09957279141,28613.51120786792,2.0605721324682236
M_term,100.0,14820.676146418056,7393.644634311351,6.784182384610176
N+M,100.0,14675.800675338956,7369.72990167341,20.4776414334774
