controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,48208.472186426836,34022.98479955293,9.840676758438349
M_term,100.0,16946.563537308353,12219.547645632907,33.29553526267409
N+M,100.0,16605.327705526975,12205.053882206968,94.23006130754948
