controller,success_rate,mean_cost,std_cost,mean_exec_time
M,100.0,107005.11891467904,0.0,3.8286585807800293
M_term,100.0,29169.484464888803,0.0,13.33336591720581
N+M,100.0,26113.72636864121,0.0,26.728055000305176
