controller,success_rate,mean_cost,std_cost,mean_exec_time
M,100.0,99884.95288856403,0.0,5.701831817626953
M_term,100.0,28481.395086589153,0.0,20.20204782485962
N+M,100.0,25755.23556869552,0.0,36.29241752624512
