controller,success_rate,mean_cost,std_cost,mean_exec_time
M,100.0,42489.225581756764,0.0,4.087346076965332
M_term,100.0,13376.637298946229,0.0,5.306591510772705
N+M,100.0,13363.01984400223,0.0,19.271692276000977
