controller,success_rate,mean_cost,std_cost,mean_exec_time
M,100.0,5265.8358942073855,4432.6621438032,2.4687349081039427
M_term,100.0,4014.0857950378836,3372.6078289384604,5.243006229400635
N+M,100.0,3839.1080623977286,3355.948083020823,9.4921560049057
