controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,815884.5545454609,1817756.1867788308,3.003667106231054
M_term,100.0,488437.7513424933,1146061.6581000353,19.481978466113407
N+M,100.0,486128.1628257623,1143030.2452790237,35.25099793076515
