simulation_id,controller,cost,exec_time,success
0,M,30359.6,2.7896459102630615,True
0,M_term,10712.7,13.731281995773315,True
0,N+M,9834.14,32.22310662269592,True
1,M,260476,2.860745906829834,True
1,M_term,138457,13.528611421585083,True
1,N+M,137554,31.401413917541504,True
2,M,76483.7,2.769859552383423,True
2,M_term,28858.3,16.07175874710083,True
2,N+M,28172.6,29.695086002349854,True
3,M,48437.9,2.636356830596924,True
3,M_term,22253.8,16.215256690979004,True
3,N+M,20959.3,32.622636795043945,True
4,M,697187,3.0592050552368164,True
4,M_term,360639,14.233336448669434,True
4,N+M,354328,32.378769636154175,True
5,M,134615,2.725740909576416,True
5,M_term,80892.5,13.13885498046875,True
5,N+M,80036.7,31.52407145500183,True
6,M,115044,2.7903800010681152,True
6,M_term,55630.6,14.612080812454224,True
6,N+M,54689.9,33.61812400817871,True
7,M,108712,2.9279377460479736,True
7,M_term,55975.4,16.899853944778442,True
7,N+M,55114.1,32.523123025894165,True
8,M,951884,3.030855178833008,True
8,M_term,479959,14.013736963272095,True
8,N+M,477343,34.73594665527344,True
9,M,884043,3.0386219024658203,True
9,M_term,449403,17.081778526306152,True
9,N+M,447004,32.26416087150574,True
10,M,39083.7,2.718895435333252,True
10,M_term,16729.6,15.758544445037842,True
10,N+M,14856.9,30.124770879745483,True
11,M,16172.8,2.5997068881988525,True
11,M_term,11309.1,14.017420053482056,True
11,N+M,7455.07,29.779454469680786,True
12,M,597948,3.015021324157715,True
12,M_term,309857,16.538285493850708,True
12,N+M,305405,33.64281702041626,True
13,M,39561.7,2.6092729568481445,True
13,M_term,16130.5,12.695151090621948,True
13,N+M,15442,30.00022578239441,True
14,M,238477,3.0490922927856445,True
14,M_term,109111,17.294620037078857,True
14,N+M,108142,32.41395020484924,True
15,M,6316.81,2.725400686264038,True
15,M_term,5683.19,16.939170598983765,True
15,N+M,2194.38,31.78202486038208,True
