simulation_id,controller,cost,exec_time,success
0,M,63103.2,5.250782489776611,True
0,M_term,26019.6,23.157779216766357,True
0,N+M,25725.9,61.9358389377594,True
1,M,81713.4,5.200133562088013,True
1,M_term,30460,24.851597785949707,True
1,N+M,30106.6,54.22695875167847,True
2,M,63785.5,4.9778783321380615,True
2,M_term,18633.3,30.35224437713623,True
2,N+M,18331.8,58.87901306152344,True
3,M,26491.4,5.088996171951294,True
3,M_term,8485.65,29.378862380981445,True
3,N+M,8162.1,58.726118326187134,True
4,M,97917.1,5.310739040374756,True
4,M_term,28780,32.57669019699097,True
4,N+M,28362.3,56.56803226470947,True
5,M,115843,4.932948112487793,True
5,M_term,40011.3,27.379093170166016,True
5,N+M,39751.4,56.0655722618103,True
6,M,18058.2,4.900696039199829,True
6,M_term,7240.09,22.7743821144104,True
6,N+M,6849.92,54.27889132499695,True
7,M,20875.1,4.534902572631836,True
7,M_term,7643.3,27.912025928497314,True
7,N+M,7117.08,59.80662250518799,True
8,M,62261.9,4.9847564697265625,True
8,M_term,18581.3,28.511988401412964,True
8,N+M,18032.2,54.09229516983032,True
9,M,84413.9,5.158616542816162,True
9,M_term,25556.2,22.704589366912842,True
9,N+M,25041.2,55.25571894645691,True
10,M,31687.7,5.100196123123169,True
10,M_term,10059.9,29.984935522079468,True
10,N+M,9784.23,53.38554358482361,True
11,M,9373.69,4.325587272644043,True
11,M_term,3418.68,24.466452836990356,True
11,N+M,3150.84,54.21070170402527,True
12,M,102080,4.855551481246948,True
12,M_term,31846.1,27.738585233688354,True
12,N+M,31524.1,60.254491090774536,True
13,M,85534.7,4.988443613052368,True
13,M_term,31513.2,25.2833514213562,True
13,N+M,31150.2,55.65373182296753,True
14,M,70655.5,5.023853540420532,True
14,M_term,24970.3,30.322416067123413,True
14,N+M,24680.9,58.67253398895264,True
15,M,10732,4.447389602661133,True
15,M_term,4859.84,27.741893529891968,True
15,N+M,4449.24,60.54212832450867,True
