controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,59032.89652932572,33892.011688441075,4.9425919353961945
M_term,100.0,19879.918494810627,11198.069923607609,27.196055471897125
N+M,100.0,19513.74741669529,11212.204099926465,57.03463700413704
