simulation_id,controller,cost,exec_time,success
0,M,37038.3,2.6923601627349854,True
0,M_term,9705.74,8.413833856582642,True
0,N+M,9697.82,29.95452046394348,True
1,M,27228.1,2.8575961589813232,True
1,M_term,8977.81,10.591920614242554,True
1,N+M,8938.06,30.915980339050293,True
2,M,62736,2.8935720920562744,True
2,M_term,16132.8,10.620281219482422,True
2,N+M,16093.2,40.41857624053955,True
3,M,22153.9,2.656677484512329,True
3,M_term,5994.78,10.844921827316284,True
3,N+M,5955.47,30.311649322509766,True
4,M,36476.8,2.870692014694214,True
4,M_term,12132.2,8.557694673538208,True
4,N+M,12125.1,30.777576446533203,True
5,M,56880.6,2.807246685028076,True
5,M_term,16448.5,10.619362115859985,True
5,N+M,16436.5,40.13286018371582,True
6,M,12794.2,2.876885175704956,True
6,M_term,4084.31,10.197665929794312,True
6,N+M,4076.99,41.280264139175415,True
7,M,1315.32,2.646606922149658,True
7,M_term,1219.66,9.91731071472168,True
7,N+M,1215.58,40.16327238082886,True
8,M,8812.53,2.768606424331665,True
8,M_term,4825.39,8.57508134841919,True
8,N+M,4790.36,30.538036823272705,True
9,M,25722.8,2.8840491771698,True
9,M_term,9411.89,10.595827579498291,True
9,N+M,9373.73,38.724365234375,True
10,M,31624,2.832603693008423,True
10,M_term,8251.66,8.845009565353394,True
10,N+M,8211.84,41.167227268218994,True
11,M,2285.32,2.7249374389648438,True
11,M_term,820.197,9.937518119812012,True
11,N+M,815.205,40.51993680000305,True
12,M,40379.9,2.8380985260009766,True
12,M_term,13096,8.51189136505127,True
12,N+M,13085.1,29.90589928627014,True
13,M,58609.9,2.873882293701172,True
13,M_term,15402.3,9.019543170928955,True
13,N+M,15360.1,29.969298124313354,True
14,M,48702.8,2.7574524879455566,True
14,M_term,13379.4,8.481964588165283,True
14,N+M,13369.9,29.731420755386353,True
15,M,4872.25,2.6826529502868652,True
15,M_term,1308.66,8.475032567977905,True
15,N+M,1302.69,37.172916650772095,True
16,M,43798.4,4.352284908294678,True
16,M_term,12723.4,9.118420124053955,True
16,N+M,12684.7,34.60660147666931,True
17,M,13767.7,4.1051788330078125,True
17,M_term,4734.72,8.345924615859985,True
17,N+M,4728.2,35.12457203865051,True
18,M,25446.5,4.733222723007202,True
18,M_term,7865.57,10.342531681060791,True
18,N+M,7825.21,34.521878719329834,True
19,M,56402.3,4.618243217468262,True
19,M_term,14469,9.267333269119263,True
19,N+M,14463.1,28.55763339996338,True
20,M,739.762,4.640009880065918,True
20,M_term,358.904,9.576416015625,True
20,N+M,324.365,34.55268216133118,True
21,M,3524.29,3.861506938934326,True
21,M_term,988.1,9.21806001663208,True
21,N+M,982.156,34.79476046562195,True
22,M,28208.2,3.709115743637085,True
22,M_term,9892.33,9.111757040023804,True
22,N+M,9884.47,28.67927360534668,True
23,M,37029.4,3.591015338897705,True
23,M_term,11135.9,8.99597692489624,True
23,N+M,11130.6,31.310855627059937,True
24,M,3258.75,4.178976058959961,True
24,M_term,2398.75,7.446430921554565,True
24,N+M,2364.35,28.62145185470581,True
25,M,21849,3.4541399478912354,True
25,M_term,8125.87,7.0375306606292725,True
25,N+M,8117.41,28.779672861099243,True
26,M,10179.6,3.4847476482391357,True
26,M_term,3821.8,6.971515893936157,True
26,N+M,3815.34,33.56702923774719,True
27,M,54600.1,3.389625310897827,True
27,M_term,15694.6,7.571704149246216,True
27,N+M,15652.9,34.41549873352051,True
28,M,26712.4,3.276817798614502,True
28,M_term,7068.9,7.114535331726074,True
28,N+M,7062.24,28.952060222625732,True
29,M,38130,3.1994128227233887,True
29,M_term,10251.7,7.1832275390625,True
29,N+M,10243.5,34.518786668777466,True
30,M,5373.61,3.082629442214966,True
30,M_term,1459.92,8.126115083694458,True
30,N+M,1423.71,28.203759908676147,True
31,M,21390.6,3.037362575531006,True
