controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,42245.69540356593,28991.53106182767,4.74196994677186
M_term,100.0,11110.403530677248,7439.458873325412,11.224365387111902
N+M,100.0,10975.966353413725,7429.302120798085,44.44947513565421
