controller,success_rate,mean_cost,std_cost,mean_time
M,100.0,265300.1730851525,314790.1660597603,2.834171161055565
M_term,100.0,134475.05215528334,161060.65439848212,15.173108890652657
N+M,100.0,132408.21614854498,160249.4612772925,31.92060513794422
