simulation_id,controller,cost,exec_time,success
0,M,1.47204e+06,4.583004713058472,True
0,M_term,866835,23.329148054122925,True
0,N+M,775427,73.45030522346497,True
1,M,3.16498e+06,4.80887246131897,True
1,M_term,1.78078e+06,20.504749298095703,True
1,N+M,2.13408e+06,68.68656945228577,True
2,M,85799.3,3.9019649028778076,True
2,M_term,25671.9,14.731193780899048,True
2,N+M,23974.8,52.87381434440613,True
3,M,1.34573e+06,4.538915395736694,True
3,M_term,737403,19.26912546157837,True
3,N+M,695335,74.12785577774048,True
4,M,1.34573e+06,4.236394882202148,True
4,M_term,737403,21.71619415283203,True
4,N+M,695335,63.923226833343506,True
5,M,220972,4.051929235458374,True
5,M_term,104862,14.388960123062134,True
5,N+M,101328,64.3218309879303,True
6,M,2.03599e+06,4.76142954826355,True
6,M_term,1.12133e+06,18.363767385482788,True
6,N+M,1.06389e+06,74.0571825504303,True
7,M,1.61464e+06,4.957009315490723,True
7,M_term,913330,23.185378551483154,True
7,N+M,694705,72.25500869750977,True
8,M,727228,4.680678129196167,True
8,M_term,405201,20.72842764854431,True
8,N+M,383901,71.09233021736145,True
9,M,52062.5,4.529489040374756,True
9,M_term,22872.6,15.744884014129639,True
9,N+M,22653.8,52.412328243255615,True
10,M,3.77302e+06,4.982830047607422,True
10,M_term,2.03802e+06,23.561306953430176,True
10,N+M,1.98347e+06,76.32630252838135,True
11,M,2.62345e+06,4.882758140563965,True
11,M_term,1.46354e+06,21.481698989868164,True
11,N+M,1.46396e+06,71.36741018295288,True
12,M,52779.6,4.215430974960327,True
12,M_term,28192.9,17.991422653198242,True
12,N+M,27198.2,53.28134346008301,True
13,M,1.92169e+06,4.907971620559692,True
13,M_term,779142,20.448081493377686,True
13,N+M,819542,62.54287767410278,True
14,M,1.86199e+06,4.56373143196106,True
14,M_term,965133,18.048911809921265,True
14,N+M,917438,64.75433897972107,True
15,M,108289,4.4970033168792725,True
15,M_term,56661.1,20.595028400421143,True
15,N+M,56454.5,57.49620962142944,True
16,M,800466,6.241506576538086,True
16,M_term,482007,15.539641857147217,True
16,N+M,409035,66.31515288352966,True
17,M,1.07453e+06,6.2115638256073,True
17,M_term,629831,14.681343078613281,True
17,N+M,582636,72.87133383750916,True
18,M,1.30496e+06,5.911181449890137,True
18,M_term,712108,15.19607400894165,True
18,N+M,728979,67.08767008781433,True
19,M,28547.2,4.942462205886841,True
19,M_term,12849.7,11.7139732837677,True
19,N+M,12625.5,64.27197194099426,True
20,M,587676,5.44654655456543,True
20,M_term,306925,13.001315593719482,True
20,N+M,294568,73.89950466156006,True
21,M,279747,5.690642833709717,True
21,M_term,143167,14.28000521659851,True
21,N+M,137980,69.52013278007507,True
22,M,170847,5.763956308364868,True
22,M_term,75546.5,13.269465446472168,True
22,N+M,71636.3,61.78761625289917,True
23,M,2.44331e+06,6.180989503860474,True
23,M_term,1.98593e+06,16.755783796310425,True
23,N+M,2.4425e+06,74.25163292884827,True
24,M,193933,4.6528308391571045,True
24,M_term,104521,16.067466974258423,True
24,N+M,96049.3,72.22417140007019,True
25,M,1.63764e+06,5.272030353546143,True
25,M_term,957429,15.22071647644043,True
25,N+M,960745,76.8998122215271,True
26,M,2.08753e+06,5.464468955993652,True
26,M_term,1.06495e+06,16.479664087295532,True
26,N+M,1.22999e+06,70.72519636154175,True
27,M,1.89262e+06,5.581671476364136,True
27,M_term,1.25515e+06,19.09351873397827,True
27,N+M,1.14202e+06,71.20058512687683,True
28,M,121047,5.082825422286987,True
28,M_term,59176.3,14.026012182235718,True
28,N+M,59441.6,67.48355007171631,True
29,M,578747,5.388476133346558,True
29,M_term,299319,14.1633780002594,True
29,N+M,298677,72.53902244567871,True
30,M,236875,5.487494230270386,True
30,M_term,87135.3,15.312021493911743,True
30,N+M,87537.3,63.15580463409424,True
31,M,2.42744e+06,5.836447715759277,True
31,M_term,1.35473e+06,17.38010883331299,True
31,N+M,1.67417e+06,70.74070167541504,True
32,M,2.52542e+06,6.284275770187378,True
32,M_term,1.34315e+06,17.548036575317383,True
32,N+M,1.42705e+06,77.97792387008667,True
33,M,84382,5.962637901306152,True
33,M_term,30408.5,14.150675773620605,True
33,N+M,30385.3,69.25792908668518,True
34,M,100356,5.9309163093566895,True
34,M_term,42637,15.35769271850586,True
34,N+M,38364.7,69.57078123092651,True
35,M,1.2598e+06,6.472606420516968,True
35,M_term,677918,15.191253900527954,True
35,N+M,674060,76.52812719345093,True
36,M,824291,6.8476550579071045,True
36,M_term,314292,13.09459900856018,True
36,N+M,313940,70.35828256607056,True
37,M,4.63571e+06,7.206072092056274,True
37,M_term,2.71879e+06,16.0604088306427,True
37,N+M,2.79763e+06,73.55844807624817,True
38,M,45621.9,6.0290303230285645,True
38,M_term,24765.2,12.292121410369873,True
38,N+M,24711.2,64.10897088050842,True
39,M,45916,5.579711675643921,True
39,M_term,17894.2,14.500096321105957,True
39,N+M,17490.4,58.48588228225708,True
40,M,785148,5.8867151737213135,True
40,M_term,462640,15.650084018707275,True
40,N+M,422137,69.34184670448303,True
41,M,2.01991e+06,5.939388990402222,True
41,M_term,2.87315e+06,19.703177213668823,True
41,N+M,2.90719e+06,67.92363333702087,True
42,M,108860,5.359153747558594,True
42,M_term,62760.4,14.942076206207275,True
42,N+M,60013.7,64.5995934009552,True
43,M,1.79991e+06,5.212040424346924,True
43,M_term,926929,18.266021966934204,True
43,N+M,1.01608e+06,63.340009927749634,True
44,M,371878,5.791528224945068,True
44,M_term,180248,17.868592500686646,True
44,N+M,171632,57.505340337753296,True
